isbn13,isbn10,title,authors,categories,description,thumbnail,average_rating,num_pages,cleaned_description
9780785265436,0785265430,The Blood of the Moon,George Grant,Religion,"""Allah has bought from the Umma-the true believers of Islam-their selves and their substance in return for Paradise; they fight in the way of Allah, killing and being killed. Their promise is written in the blood of the moon."" -From the Koran, chap. 9, v. 112 The conflict between Islam and the West existed long before the destruction of the World Trade Center and the other events that recently touched America. It goes back hundreds, even thousands, of years. Yet the struggle is upon us now as never before. In this well-reasoned, accessible book, Middle East expert George Grant answers the troubling questions on many believers' minds. Who are the followers of Islam, and what do they believe? What could have motivated those who carried out the acts of terror on September 11? Why has there been tension between Islam and the West for centuries? What are the true meanings of terms such as Ji'had, Intifada, and Dhimma? And is there any hope for peace? The call upon believers now-as always-is to prepare and equip ourselves so that we may stand fast. The Blood of the Moon will help readers better understand the history of Islam and its struggle with the Western world, as well as how Christians can share the message of salvation through Jesus Christ with the followers of Allah.",http://books.google.com/books/content?id=S6wsAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69,224.0,allah bought ummathe true believer islamtheir self substance return paradise fight way allah killing killed promise written blood moon koran chap v conflict islam west existed long destruction world trade center event recently touched america go back hundred even thousand year yet struggle upon u never wellreasoned accessible book middle east expert george grant answer troubling question many believer mind follower islam believe could motivated carried act terror september tension islam west century true meaning term jihad intifada dhimma hope peace call upon believer nowas alwaysis prepare equip may stand fast blood moon help reader better understand history islam struggle western world well christian share message salvation jesus christ follower allah
9780785282099,0785282092,The Guardian,Jane Hamilton,Fiction,"An exciting, thought-provoking novel of love as steadfast as an angel's, as deep as God's--a passionate story of mercy and forgiveness as great as heaven itself. How is it that Tabris, a special guardian in God's eyes, has come to commit the one unforgiveable crime for guardian angels? And more alarming to the entire celestial world, why did he get away with it?",https://placehold.co/150x200?text=No+Cover,3.75,239.0,exciting thoughtprovoking novel love steadfast angel deep godsa passionate story mercy forgiveness great heaven tabris special guardian god eye come commit one unforgiveable crime guardian angel alarming entire celestial world get away
9780785814535,0785814531,Edgar Allan Poe Complete Tales and Poems,Edgar Allan Poe,Fiction,"The life of American writer Edgar Allan Poe was characterized by a dramatic series of successes and failures, breakdowns and recoveries, personal gains and hopes dashed through, despite which he created some of the finest literature the world has ever known. Over time his works have influenced such major creative forces as the French poets Charles Baudelaire and Andre Gide, filmmaker D.W. Griffith and modern literary legend Allen Ginsberg. Best known for his poems and short fiction, Poe perfected the psychological thriller, invented the detective story, and rarely missed transporting the reader to his own supernatural realm. He has also been hailed posthumously as one of the finest literary critics of the nineteenth century. In Edgar Allan Poe: Complete Tales and Poems fans may indulge in all of Poe's most imaginative short-stories, including The Fall of the House of Usher, The Murders in Rue Morgue, The Tell-Tale Heart, Ligeia and Ms. In a Bottle. His complete early and miscellaneous poetic masterpieces are here also, including The Raven, Ulalume, Annabel Lee, Tamerlane, as well as select reviews and narratives.",http://books.google.com/books/content?id=uY4NAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.38,864.0,life american writer edgar allan poe characterized dramatic series success failure breakdown recovery personal gain hope dashed despite created finest literature world ever known time work influenced major creative force french poet charles baudelaire andre gide filmmaker dw griffith modern literary legend allen ginsberg best known poem short fiction poe perfected psychological thriller invented detective story rarely missed transporting reader supernatural realm also hailed posthumously one finest literary critic nineteenth century edgar allan poe complete tale poem fan may indulge poe imaginative shortstories including fall house usher murder rue morgue telltale heart ligeia m bottle complete early miscellaneous poetic masterpiece also including raven ulalume annabel lee tamerlane well select review narrative
9780786000234,0786000236,Dazzling Brightness,Roberta Gellis,Fiction,"Emerging from the world of ancient Greece, Hades, Lord of the Underworld, and the mystical Persephone defy the gods of Olympus to defend an eternal love that they share between the sun and the shadows. Original.",https://placehold.co/150x200?text=No+Cover,3.82,446.0,emerging world ancient greece hades lord underworld mystical persephone defy god olympus defend eternal love share sun shadow original
9780786011896,0786011890,Dead of Winter,P. J. Parrish,Fiction,"A vicious psychopathic killer stalks the streets of the quiet tourist town of Loon Lake, Michigan, leaving a series of victims and mysteriously coded death cards in his wake, and Detective Louis Kincaid must make a terrifying journey through the town's dark secrets into the mind of madman in order to stop the murders. Original.",http://books.google.com/books/content?id=8SroDH4RS98C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94,416.0,vicious psychopathic killer stalk street quiet tourist town loon lake michigan leaving series victim mysteriously coded death card wake detective louis kincaid must make terrifying journey town dark secret mind madman order stop murder original
9780786014200,0786014202,Thicker Than Water,P. J. Parrish,Fiction,"Louis Kincaid races to find the truth surrounding a series of vicious killings that bear resemblance to a twenty-year-old rape and murder case, for which the man responsible was just released from prison.",http://books.google.com/books/content?id=d03__C_qPLoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,380.0,louis kincaid race find truth surrounding series vicious killing bear resemblance twentyyearold rape murder case man responsible released prison
9780786015412,0786015411,Samantha,Tamara Thorne,Fiction,"Going undercover as a new Gamma Eta Pi sorority pledge to expose the truth surrounding the disappearance of Merilynn Morris and the supposed suicide of Eve Camlan, Samantha Penrose finds more than she bargained for when she is plunged into a sinister realm of witchcraft and the supernatural. Original.",http://books.google.com/books/content?id=8gYt9plyFUcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79,288.0,going undercover new gamma eta pi sorority pledge expose truth surrounding disappearance merilynn morris supposed suicide eve camlan samantha penrose find bargained plunged sinister realm witchcraft supernatural original
9780786016051,0786016051,Island of Bones,P. J. Parrish,Fiction,"When the bullet-ridden body of a woman, identified only by a strange ring on her finger, and a tiny skull wash up on shore, Detective Louis Kincaid makes a connection that takes him to a remote island rife with evil and betrayal.",http://books.google.com/books/content?id=3fQOLhS09scC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.01,384.0,bulletridden body woman identified strange ring finger tiny skull wash shore detective louis kincaid make connection take remote island rife evil betrayal
9780786016068,078601606X,A Killing Rain,P. J. Parrish,Fiction,"While working on a seemingly routine case, Detective Louis Kincaid is drawn into the twisted world of a serial killer who keeps trophies of his victims deep within the Florida Everglades. Original.",http://books.google.com/books/content?id=c_276CjPmcUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,383.0,working seemingly routine case detective louis kincaid drawn twisted world serial killer keep trophy victim deep within florida everglades original
9780786016075,0786016078,An Unquiet Grave,P. J. Parrish,Fiction,"As bulldozers raze the ruins of one of the country's most notorious sanitariums and its cemetary, a grisly discovery is made, and Louis Kincaid must go head-to-head with a sadistic killer who is using the dark tunnels underneath this asylum as his own personal playground of death. Original.",http://books.google.com/books/content?id=QfblSohw51gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.12,384.0,bulldozer raze ruin one country notorious sanitarium cemetary grisly discovery made louis kincaid must go headtohead sadistic killer using dark tunnel underneath asylum personal playground death original
9780786249589,0786249587,Night Lives,Phyllis Eisenstein;Alex Eisenstein,Fiction,Presents a collection of nine short works of speculative fiction.,http://books.google.com/books/content?id=VOgBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.5,307.0,present collection nine short work speculative fiction
9780786282258,0786282258,The Lightning Thief,Rick Riordan,Juvenile Fiction,"After learning that he is the son of a mortal woman and Poseidon, god of the sea, twelve-year-old Percy is sent to a summer camp for demigods like himself, and joins his new friends on a quest to prevent a war between the gods.",http://books.google.com/books/content?id=9DU2AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.24,483.0,learning son mortal woman poseidon god sea twelveyearold percy sent summer camp demigod like join new friend quest prevent war god
9780786500734,0786500735,Something Borrowed,Rebecca Hagan Lee,Fiction,"Honoring a deathbed promise to become guardian to his best friend's daughter and find a wife, Lee arranges his marriage to Mary, a part-Cherokee schoolteacher who cannot deny her attraction to her husband of convenience. Original.",http://books.google.com/books/content?id=Pzl0qo0Mg_QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,282.0,honoring deathbed promise become guardian best friend daughter find wife lee arranges marriage mary partcherokee schoolteacher deny attraction husband convenience original
9780786702275,0786702273,Bad Dreams,Kim Newman,Fiction,"Anne Nielson, an American journalist, comes to London to investigate the strange death of her sister. Soon, she becomes sucked into a netherworld of corruption and perversion and is hurtled toward a final confrontation where she has only the dead as allies. From the author of Anno-Dracula.",http://books.google.com/books/content?id=LTtBch9U8CkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.15,280.0,anne nielson american journalist come london investigate strange death sister soon becomes sucked netherworld corruption perversion hurtled toward final confrontation dead ally author annodracula
9780786707980,0786707984,The White Rhino Hotel,Bartle Bull,Fiction,Records the mad rush to settle East Africa after the First World War in a novel that depicts the paradoxes of colonialism through a group portrait of the guests staying at the White Rhino Hotel.,http://books.google.com/books/content?id=TgRVHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94,416.0,record mad rush settle east africa first world war novel depicts paradox colonialism group portrait guest staying white rhino hotel
